file,match_id,date,gender,match_type,venue,city,team1,team2,winner,standardized_venue
1339595.json,4512,2023-01-27,male,ODI,"Mangaung Oval, Bloemfontein",Bloemfontein,South Africa,England,South Africa,Mangaung Oval
1339596.json,4513,2023-01-29,male,ODI,"Mangaung Oval, Bloemfontein",Bloemfontein,England,South Africa,South Africa,Mangaung Oval
1339602.json,4540,2023-03-18,male,ODI,"Buffalo Park, East London",East London,West Indies,South Africa,West Indies,Buffalo Park
1339608.json,4563,2023-04-02,male,ODI,"The Wanderers Stadium, Johannesburg",Johannesburg,South Africa,Netherlands,South Africa,Wanderers Stadium
1348326.json,4506,2023-01-18,male,ODI,Harare Sports Club,Harare,Ireland,Zimbabwe,Zimbabwe,Harare Sports Club
1348327.json,4508,2023-01-21,male,ODI,Harare Sports Club,Harare,Ireland,Zimbabwe,Ireland,Harare Sports Club
1348328.json,4510,2023-01-23,male,ODI,Harare Sports Club,Harare,Zimbabwe,Ireland,,Harare Sports Club
1362379.json,4543,2023-03-21,male,ODI,Harare Sports Club,Harare,Zimbabwe,Netherlands,Netherlands,Harare Sports Club
1362380.json,4546,2023-03-23,male,ODI,Harare Sports Club,Harare,Zimbabwe,Netherlands,Zimbabwe,Harare Sports Club
1362381.json,4549,2023-03-25,male,ODI,Harare Sports Club,Harare,Netherlands,Zimbabwe,Zimbabwe,Harare Sports Club
1373571.json,4635,2023-09-07,male,ODI,"Mangaung Oval, Bloemfontein",Bloemfontein,South Africa,Australia,Australia,Mangaung Oval
1373572.json,4638,2023-09-09,male,ODI,"Mangaung Oval, Bloemfontein",Bloemfontein,Australia,South Africa,Australia,Mangaung Oval
1373574.json,4646,2023-09-15,male,ODI,"SuperSport Park, Centurion",Centurion,South Africa,Australia,South Africa,SuperSport Park
1373575.json,4648,2023-09-17,male,ODI,"The Wanderers Stadium, Johannesburg",Johannesburg,South Africa,Australia,South Africa,Wanderers Stadium
1377746.json,4585,2023-06-18,male,ODI,Harare Sports Club,Harare,Nepal,Zimbabwe,Zimbabwe,Harare Sports Club
1377750.json,4589,2023-06-20,male,ODI,Harare Sports Club,Harare,Netherlands,Zimbabwe,Zimbabwe,Harare Sports Club
1377754.json,4593,2023-06-22,male,ODI,Harare Sports Club,Harare,West Indies,Nepal,West Indies,Harare Sports Club
1377758.json,4597,2023-06-24,male,ODI,Harare Sports Club,Harare,Zimbabwe,West Indies,Zimbabwe,Harare Sports Club
1377762.json,4601,2023-06-26,male,ODI,Harare Sports Club,Harare,Zimbabwe,United States of America,Zimbabwe,Harare Sports Club
1377769.json,4608,2023-07-01,male,ODI,Harare Sports Club,Harare,West Indies,Scotland,Scotland,Harare Sports Club
1377772.json,4611,2023-07-03,male,ODI,Harare Sports Club,Harare,Netherlands,Oman,Netherlands,Harare Sports Club
1377775.json,4614,2023-07-05,male,ODI,Harare Sports Club,Harare,Oman,West Indies,West Indies,Harare Sports Club
1377778.json,4618,2023-07-07,male,ODI,Harare Sports Club,Harare,West Indies,Sri Lanka,Sri Lanka,Harare Sports Club
1377779.json,4620,2023-07-09,male,ODI,Harare Sports Club,Harare,Sri Lanka,Netherlands,Sri Lanka,Harare Sports Club
1387600.json,4713,2023-12-17,male,ODI,"The Wanderers Stadium, Johannesburg",Johannesburg,South Africa,India,India,Wanderers Stadium
1387601.json,4714,2023-12-19,male,ODI,"St George's Park, Gqeberha",Gqeberha,India,South Africa,South Africa,St George's Park
1387602.json,4716,2023-12-21,male,ODI,"Boland Park, Paarl",Paarl,India,South Africa,India,Boland Park
1408106.json,4709,2023-12-13,male,ODI,Harare Sports Club,Harare,Zimbabwe,Ireland,,Harare Sports Club
1408107.json,4710,2023-12-15,male,ODI,Harare Sports Club,Harare,Zimbabwe,Ireland,Ireland,Harare Sports Club
1408108.json,4712,2023-12-17,male,ODI,Harare Sports Club,Harare,Zimbabwe,Ireland,Ireland,Harare Sports Club
1432214.json,4817,2024-12-17,male,ODI,"Boland Park, Paarl",Paarl,South Africa,Pakistan,Pakistan,Boland Park
1432215.json,4819,2024-12-19,male,ODI,"Newlands, Cape Town",Cape Town,Pakistan,South Africa,Pakistan,Newlands
1432216.json,4821,2024-12-22,male,ODI,"The Wanderers Stadium, Johannesburg",Johannesburg,Pakistan,South Africa,Pakistan,Wanderers Stadium
1467701.json,4837,2025-02-14,male,ODI,Harare Sports Club,Harare,Zimbabwe,Ireland,Zimbabwe,Harare Sports Club
