standardized_venue,team,batting_score,bowling_score,overall_venue_score,team_fallback_score,final_venue_score,venue_rank_for_team,data_source
Mangaung Oval,New Zealand,,,,42.43652181152181,42.43652181152181,5,Team Fallback
Boland Park,New Zealand,,,,42.43652181152181,42.43652181152181,6,Team Fallback
Buffalo Park,New Zealand,,,,42.43652181152181,42.43652181152181,7,Team Fallback
Queens Sports Club,New Zealand,,,,42.43652181152181,42.43652181152181,8,Team Fallback
Mosi-oa-Tunya International Cricket Stadium,New Zealand,,,,42.43652181152181,42.43652181152181,9,Team Fallback
Namibia Cricket Ground,New Zealand,,,,42.43652181152181,42.43652181152181,10,Team Fallback
SuperSport Park,New Zealand,51.785714285714285,26.955128205128204,39.37042124542124,42.43652181152181,39.37042124542124,11,Historical Venue Data
Kingsmead,New Zealand,25.324675324675322,40.92948717948718,33.127081252081254,42.43652181152181,33.127081252081254,12,Historical Venue Data
Queens Sports Club,Pakistan,82.85714285714286,91.34615384615384,87.10164835164835,56.977631743256744,87.10164835164835,1,Historical Venue Data
Wanderers Stadium,Pakistan,76.03896103896105,61.08974358974359,68.56435231435232,56.977631743256744,68.56435231435232,2,Historical Venue Data
SuperSport Park,Pakistan,85.1948051948052,43.52564102564102,64.3602231102231,56.977631743256744,64.3602231102231,3,Historical Venue Data
Newlands,Pakistan,75.81168831168831,47.62820512820513,61.71994671994672,56.977631743256744,61.71994671994672,4,Historical Venue Data
Mangaung Oval,Pakistan,,,,56.977631743256744,56.977631743256744,5,Team Fallback
Buffalo Park,Pakistan,,,,56.977631743256744,56.977631743256744,6,Team Fallback
Mosi-oa-Tunya International Cricket Stadium,Pakistan,,,,56.977631743256744,56.977631743256744,7,Team Fallback
Namibia Cricket Ground,Pakistan,,,,56.977631743256744,56.977631743256744,8,Team Fallback
Boland Park,Pakistan,35.746753246753244,70.48076923076923,53.113761238761235,56.977631743256744,53.113761238761235,9,Historical Venue Data
Harare Sports Club,Pakistan,43.896103896103895,59.80769230769231,51.8518981018981,56.977631743256744,51.8518981018981,10,Historical Venue Data
St George's Park,Pakistan,60.09740259740259,18.878205128205124,39.48780386280386,56.977631743256744,39.48780386280386,11,Historical Venue Data
Kingsmead,Pakistan,18.441558441558442,40.80128205128205,29.621420246420247,56.977631743256744,29.621420246420247,12,Historical Venue Data
Queens Sports Club,Scotland,57.72727272727272,78.58974358974359,68.15850815850816,59.38630813630814,68.15850815850816,1,Historical Venue Data
Namibia Cricket Ground,Scotland,42.85714285714286,89.74358974358975,66.3003663003663,59.38630813630814,66.3003663003663,2,Historical Venue Data
Wanderers Stadium,Scotland,,,,59.38630813630814,59.38630813630814,3,Team Fallback
SuperSport Park,Scotland,,,,59.38630813630814,59.38630813630814,4,Team Fallback
Newlands,Scotland,,,,59.38630813630814,59.38630813630814,5,Team Fallback
Kingsmead,Scotland,,,,59.38630813630814,59.38630813630814,6,Team Fallback
St George's Park,Scotland,,,,59.38630813630814,59.38630813630814,7,Team Fallback
Mangaung Oval,Scotland,,,,59.38630813630814,59.38630813630814,8,Team Fallback
Boland Park,Scotland,,,,59.38630813630814,59.38630813630814,9,Team Fallback
Buffalo Park,Scotland,,,,59.38630813630814,59.38630813630814,10,Team Fallback
Mosi-oa-Tunya International Cricket Stadium,Scotland,,,,59.38630813630814,59.38630813630814,11,Team Fallback
Harare Sports Club,Scotland,27.20779220779221,60.19230769230769,43.70004995004995,59.38630813630814,43.70004995004995,12,Historical Venue Data
